,name,year,artist,lyric,,
2585,Oiga amigo,,Alfredo Navarrine,"Sí, mi amigo, estoy llorando, no se ría ni se asombre. Desgraciado de aquel hombre que no ha llorado una vez. No crea que estoy borracho, si usted supiera mis cosas, tan tristes y dolorosas, no se reiría, tal vez.  Qué saben, ni el mundo, ni la gente si yo tuve esposa y dos hijitos, y si los dejé por los malditos hechizos de una mujer fatal. Usted nada sabe, ni le importa, si mi burla resultó sangrienta, si por vengar alguna infame afrenta yo fui a la cárcel y ella a un hospital.  No se ponga tan serio, mi amigo, que lo que le digono tiene valor. De la cárcel se sale, y un día también yo salía y eso fue lo peor. Como el ave que vuelve a su nido. y lo halla destruido sin saber por qué, volví al mío y estaba desierto, mi esposa habia muerto, mis hijos no sé.  Oiga, amigo, hoy entre sueños he visto a mis dos hijitos tendiéndome sus bracitos, como pidiéndome pan. Y total, usted qué sabe, si es verdad lo que le digo, seque esos ojos, mi amigo, que si lo ven se reirán.",,
2586,Oiga compadre,,Francisco García Jiménez,"Oiga, compadre, ese tango, ¡cacho de risa y de queja! Óigalo, está recordando aquello que hoy pa' siempre ya nos deja... En el Casino lo bailé por vez primera. ¿Se acuerda, viejo, qué mujer mi compañera? A sus compases, le hablé con confianza; a su cadencia, me dio una esperanza...  ¡Toda la noche, calzao a mi paso, sumiso a mi brazo su cuerpo vibró! Y al fin del baile, prendidos seguimos, prendidos salimos p'al mismo rincón.  ¡Milongas bravas aquellas del centro y los arrabales, donde dejamos las huellas! Adónde están, carnavales, que alegremente con ella del corso y teatro pasé? Del lindo tiempo florido de juventú y de verbena, com'un recuerdo perdido el eco resuena del tango de ayer Pare, compadre, la oreja, y oiga el romántico y triste himno de la guardia vieja que al empujón del tiempo le resiste... En el bailongo de una noche la vi amarme y en el bailongo de la vida despreciarme... Con ese tango me dijo: ¡Te quiero! Con otro tango cambió, compañero...  Fama de trompo lucí y pisé fuerte; y el triunfo y la suerte me ataron piolín. Hasta que un día barrió mi leyenda y arreó con mi prenda mejor bailarín...",,
2587,Oigo tu voz,,Francisco García Jiménez,"Miedo de morir, ansia de vivir, ¿sueño o realidad?... Algo quiere ser un amanecer en mi soledad... Canto que olvidé, sitios que dejé, dicha que perdí... ¡Hoy en la emoción de mi corazón todo vuelve a mí!  Oigo tu voz ¡la que mi oído no olvida! Me trae tu voz hasta mi pena escondida la luz y la vida de un rayo de sol... Vuelvo a escuchar el nombre mío en tu acento, sin descifrar si es la palabra que siento mentira del viento, delirio, no más...  Tiemblo por saber si en mi puerta estás, si es tu propia voz; y no quiero abrir para no llorar muerta mi ilusión... Déjame pensar que a salvar vendrás el deshecho amor... ¡Déjame creer que eres siempre, al fin, tú mejor que yo!",,
2588,Oíme negro,,Rosita Quiroga,"Perdóname si un día, yo tuve el desatino de huir del buen camino, burlándome de ti. Te juro, por mi madre, que fue en un mal momento, del cual hoy me arrepiento, porque mucho sufrí. Estoy desengañada del mundo y su ironía. Las gentes, con falsía, me hablaron de amistad, y en medio de esa pena, tu imagen de hombre bueno, llevole al alma mía, su rayo de bondad.  Grande fue mi culpa, negro mío. Tarde comprendí tu inmenso amor. Nadie de tu modo me ha querido. Y yo a muchos he servido pues, quizás, de distracción. Dime se me adoras todavía. Dudo que me quieras perdonar. Dame la ocasión de que te pruebe que me encuentro arrepentida de mi burla y mi maldad.  Fui mala, lo comprendo. Las joyas y vestidos que nunca había tenido, llenaron mi ambición: Perdona mi torpeza y escucha a la que implora. ¡También las pecadoras merecen un perdón! seré como una esclava, sujeta a tu mandato. Tendrás a cada rato mis besos de querer. Y unidos para siempre, viviendo en la ternura, yo haré que se te olviden mis faltas de mujer.  Sólo tu cariño fue sincero. Siento desgarrarme el corazón. Mira que te quiero tanto, tanto, que yo espero, envuelta en llanto, tu palabra de perdón. Buena, me verás, te lo prometo; tierna, dulce y tierna en mi pasión. Nunca tú tendrás que maldecirme, ¡porque bien sabré tenerte gran respeto como a Dios!",,
2589,"Oíme, ciudad mía",,Héctor Negro,"Oíme, ciudad mía: habrá algún día nuevo, con chispas de algún fuego que el tiempo encenderá. Y acaso cerraremos las viejas cicatrices, que arrastrarán las sombras que con ellas se irán.  ¡Podremos, Buenos Aires! De tanto levantarnos, sabremos las maneras de no doblarnos más. Y un viento de muchachas cantando a contraviento, vendrán a nuestro encuentro, sin llanto ni disfraz.  Todos nos pondremos pétalos de nubes. Manso el corazón, tendremos. Y volveremos a encontrarnos con nuevas ganas de crecer. No, no estoy soñando, y si sueño... ¿qué? Abro mis ventanas y regresa todo el sol. Salgo con las alas puestas, con el pecho abierto, donde anida otra ilusión...  ¡Qué lúcida esperanza encierra la utopía, de avizorar un cielo que crece más allá! Y reencontrar la luna que bebe allí en el charco el vino milagroso que riega nuestro afán.  Te estoy contando un cuento que acaso sea una historia, que aún no ha transcurrido y sé que llegará. ¡Qué magia, Buenos Aires!, trepar por tus raíces. Salvar para tu gente, su luz y su verdad.",,
2590,Ojeras de Buenos Aires,,Cacho Castaña,"Ojera que nació de la tristeza de un cantor buscando fama, pa' salir de la pobreza. Ojera de cordón de asfalto y pizza, de mil gatos harapientos orinando en las cornisas. Querías que la fama te alcanzara, ser el rey de Buenos Aires y el aplauso te matara... Artista que un smoking te alquilaste te dijeron que cantabas y esa noche no cantaste.  Ojeras de Buenos Aires, ausencias que no se aguantan, y seguir cantando un tango con un nudo en la garganta.  Ojeras de Buenos Aires, lluvia que moja y no llueve, las flores se van muriendo pero el árbol no se muere.  Ojeras de Buenos Aires, artistas de madrugada que tarde se dieron cuenta que el aplauso no alcanzaba.  Ojeras de Buenos Aires, fantasmas que bajo el traje quieren ocultar la pena y no encuentran maquillaje.  Ojera que nació de la locura de mil perros vagabundos revolviendo en la basura. Querías que la fama te alcanzara, ser el rey de Buenos Aires y el aplauso te matara... Artista que un smoking te alquilaste te dijeron que cantabas y esa noche no cantaste.",,
2591,Ojos culpables,,Benjamín Fernández,"Ojos culpables que lloraron aquel día arrepentidos de haber hecho tanto mal, nunca podrán borrar de mi camino mujer las huellas de mi sino fatal. Hoy la vida para mi es indiferente soy en el mundo un ser irracional, yo vivo ahora al margen de las leyes gozando en ser borracho y criminal.  Si pide mi alma caricias siempre recurro al crisol, donde su funden alegres las que mi brinda solícito el alcohol… Y en cada copa que bebo como sombra criminal, están tus ojos culpables perennemente adheridos al cristal.  Con un cinismo despiadado me engañaste y te entregaste a otro hombre más feliz, trunco quedó mi amor y mi esperanza vivo cargando la cruz de tu desliz. Luz ya no hay para mi alma entristecida llegaste tarde pidiéndome perdón, y al encontrarme hundido en las tinieblas yo te ofrecí mi yerto corazón.  Si pide mi alma caricias siempre recurro al crisol donde se funden alegres las que me brinda solícito el alcohol. Y en cada copa que bebo, como sombra criminal, están tus ojos culpables perennemente adheridos al cristal.",,
2592,Ojos maulas,1931,Alfredo Faustino Roldán,"Lloran las guitarras con suaves acordes arden los fogones su luz de ilusión, y hay dos ojos maulas que miran traidores, a un mozo tostao más lindo que el sol. Él sabe el misterio que guarda en el pecho la infiel paisanita que lo trastornó y canta empañado de pena sus versos, los tristes recuerdos de un día de amor.  Fue una mañanita te acordás mi china, cuando la puntita del sol asomó te encontré solita, allá en la cocina, vos me diste un beso y mil te di yo. Te acordás mi china que amor nos juramos y nos abrazamos con alma y pasión, y después que pronto se hicieron cenizas las dulces caricias de aquella ilusión.  Escucha mis quejas y luego decime, sin han habido causas pa' hacerme traición y dejar que sufra y así me resigne maneando los gritos de mi corazón. Pero que voy a hacerle si se marchitaron las lindas violetas que un día te di y al dirse los pobres en mi alma dejaron un puñao de angustias que gimen así.",,
2593,Ojos negros,,Pedro Numa Córdoba,"Ojos negros y... soñadores de mis amores dueños ellos son. Ojos que encantan a mi alma y que dan dulce calma a mi fiel corazón.  Cuando en su cristal me suelo mirar me causa placer, porque en ellos yo suelo adivinar su mucho querer.  Nunca jamás podré olvidar la expresión arrobadora de tu faz.  Como divinos luceros son tus ojos negros dignos de admirar,  y por ellos yo me muero y en sus pestañas quiero poder siempre besar.",,
2594,Olor de malvón,,Salvador Amalfa,"He vuelto a tu barrio volví con la tarde, andando esas calles de otoño y de asfalto. Tu casa, mi amor y el sol de este día están sin color, y yo te presiento vital en el viento estás en el aire, olor de malvón.  Tanto te busqué... Tanto así... Te busqué en el cielo de un verano, en la brisa gris de abril, en la cruz de alguna esquina, y en recodos de la vida. He encontrado hoy al fin que está viva tu presencia, aflorando sus tristezas en perfumes de malvón.  El tiempo en tu puerta parece decirme: no busques, no hay nada... No ves que tan sólo la reja quedó, soñando un regreso que nunca llegó. No ves que se asoma tan sólo un aroma, la roja fragancia olor de malvón.",,
2595,Olvidala hermano,1999,Carlos Lagos,"Escuchame hermano, a vos me dirijo, sabés que respeto lo que vos sentís, pero yo no puedo quedarme callado, ni hacerme el otario, ni pasar por gil.  Te vi la otra noche con esa fulana repleta de alhajas, pieles y carmín, tomada a tu brazo como una gran dama y vos muy alegre luciéndote así.  Después en la esquina algo le gritaron y como sos hombre jugaste tu honor y sin darte tiempo a sacar tu daga, un maula rastrero te clavó y huyó.  Hiciste lo justo, te hubiera imitado, no importa la herida que aquel te causó, pero ella no vale que te hayas jugado, no por su pasado, sino por su hoy.  Olvidala hermano, es sólo una de esas, cuando la ambulancia a vos te llevó, pa’ no quedar sola, ni llorar su pena, fue tras el rastrero y se le acopló.",,
2596,Olvídame (Risque),,Horacio Sanguinetti,Borra mi nombre de tu cuaderno ya no soporto este infierno de nuestro amor fracasado. Dejá que siga nuevos caminos en busca de otros cariños... ¡En busca de un nuevo amor!...  Más si algún día la angustia te hiciera llorar... No te perturbes y ahoga tus penas bebiendo en un bar... Crée... Toda quimera se esfuma como la blancura de espuma que se desmaya en la arena.,,
2597,Olvidao,1932,Enrique Cadícamo,"¡Lo mataron al pobre Conteras! ¡Recién se casaba! ¡Si es para no creer! Juan Luz Mala, saltó la tranquera y vino a llevarle a su propia mujer... Fue en el patio e' la estancia ""La Hazaña"", la fiesta 'e los novios era un esplendor; mas de pronto dos dagas hicieron, de aquella alegría un cuadro de horror.  (recitado) Herido de muerte y en sangre bañao, habló de este modo, el recién casao:  No es nada, mi gaucha; no te asustes, mi alma... A los dos peleando, se nos fue el facón... Siento que me llega, un vientito helado, aquí, de este lado, sobre el corazón...  Llevame unas flores... Andá a visitarme... La tierra es muy fría pa' estar olvidao... ¡Adiosita, gaucha, te estaré esperando! ¡Me voy apagando, de puro finao!  Al principio fue todo promesas... La viuda lloraba, sin duda demás; Pero al fin se le fue la tristeza y a su pobre gaucho no lo fue a ver más. ¡Con razón que en las noches 'e tormenta se escucha patente, la voz del finao, que la llama diciendo: ¡Lucinda, estoy muy solito, llegate a mi lao!",,
2598,Olvido,1935,Luis César Amadori,"Si pensara alguna vez en lo que fui no tendría ni la fuerza de vivir... Pero yo sé que hay que olvidar y olvido sin protestar. En la obscura caravana de dolor de los hombres que perdieron el hogar, sin blasfemar, sin un rencor, voy solo con mi canción.  Nadie pregunta lo que he sido en el pasado, si fui rico, si fui honrado, si hubo sedas en mi cuna. A nadie importa quién soy yo, de donde vengo, y si alguno se me acerca me pregunta cuánto tengo... Miran los trapos que delatan mi pobreza de hoy  y en esos trapos lee la gente cuánto valgo y quién soy... Pero no importa, para mí que lo he vivido, yo sé todo lo que he sido, lo que nunca más seré...  Es por eso que mi boca no dirá el secreto de un pasado que perdí... Fui gran señor, creo en un Dios que a veces me niega el pan... Y en la obscura caravana de dolor de los hombres que perdieron el hogar, sin blasfemar, sin un rencor, voy solo con mi canción.",,
2599,Olympia,1927,Juan Andrés Caruso,"Como una reina de altiva va paseando su rara belleza y lleva un gesto de orgullo y fiereza indomable en su corazón. Tiene su mirada el brillo que producen los locos amores. Y todas se van tras su ilusión rendidas de pasión.  Y dicen que es terrible y cruel, que su alma ya no tiene amor, que tuvo que apurar tragos de hiel y tuvo que sufrir un gran dolor. Un hijo le quedó de aquel que supo burlar su candor, y quiere cual la abeja dar su miel y amarguras con sus labios en flor.  Y dicen, se arruinaron varios hombres tan sólo por ella, porque al verla soberbia y tan bella, le entregaron su corazón. Y muchos hay que aseguran que de gusto prodiga caricias y el engañar es su placer... ¡Venganza de mujer!...",,
2600,Oración,,Rosita Melo,"Virgencita, tú que escuchas mis ruegos, y que sabes porque es mi aflicción, no te apiadas de mi cruel agonía y, hasta olvidas, esta amarga oración.  Virgen mía, por qué me castigas así, yo que siempre te adorné con mis flores tu altar después de tanto implorar, tú me abandonas también.  Se olvidaron de mí, de la nena que ayer con sus besos llenó de alegría el hogar sólo yo supe llorar cuando de ellos me alejé.  Virgencita, tú que escuchas mis ruegos, y que sabes porque es mi aflicción, no te apiadas de mi cruel agonía y, hasta olvidas, esta amarga oración.",,
2601,Oración [b],,Samy Friedenthal,"¡Señor!, te pido escuches mi ruego angustioso clamando piedad. No ves, que todo es dolor y todo es maldad. Ya nada es amor el mundo quiere olvidar la diáfana calma de tu inmolación, lección divina de fe tenés que volver a darnos tu luz.  La vida no tiene razón ni sentido si el odio rechaza los lazos que hermanan. El trueno de guerra retumba en las almas y manchas de sangre rubrican el mal. Por eso te pido, ¡Señor!, que me escuches y bajes del cielo a darnos tu mano. Te juro que, entonces, la vida tendría razón y sentido, con tu conducción.  Dejá... que vengan a mí la voz respondió con dulzura sin par. Muy juntos han de llorar. Muy juntos reír, muy juntos vivir. Porque no ves como el sol los besa con rayos a todos igual los campos dan su vergel mitad para ti mitad para él.",,
2602,Oración criolla,,Manuel Romero,"Resuenen las notas del tango porteño como un homenaje del criollo dolor y arrullen las violas el último sueño del ave caída, del dulce cantor. Su voz, que era dueña de toda armonía; su voz, que era el tango de recto compás, aquel Buenos Aires que tanto quería, su gran Buenos Aires, no oirá nunca más...  Por eso hoy hasta vos, cantor de la emoción, se eleva este tango como una oración.  Adiós, porteño zorzal; adiós, cantor sin rival... Porque te fuiste el centro está triste y llora el arrabal. Con vos se fue la emoción, se fue el acento varón de ""Mano a mano"" como eco lejano de tu última canción.  Lo mismo que el otro cantor argentino, aquel Santos Vega que al diablo venció, a vos te ha vendido tu propio destino y en esta payada la voz te falló. Y pasen los años en larga tropilla, que siempre en mis pagos un viejo dirá, teniendo a sus nietos sobre las rodillas: ""Como él no ha habido, no lo hay, ni lo habrá.""  Y acaso donde estés, cantor de la emoción, oigas este tango como una oración.",,
2603,Oración postrera,,Humberto Castiglioni,"Me estoy poniendo vieja, no valgo para nada, se fue todo mi encanto, ni la sombra quedó. Hoy soy una piltrafa, juguete del destino, y voy por mi camino con la cruz del dolor. Mis años se pasaron, con ellos mi alegría; cariños e ilusiones, ya todo se acabó. No escuché los consejos de mi pobre viejita que tanto por mi dicha rogara a nuestro Dios.  Me acuerdo cuantas noches llorando me decía: ¡No sigas mal camino, te pido por favor!... Escucha las palabras de aquel muchacho bueno, que tanto por vos sufre y llora por tu amor. Con él serás dichosa, tendrás siempre a tu lado, cariños, alegría, amor, sincero amor. Pobre viejita santa, que mala fui con ella; en pago de mi culpa, sufre hoy mi corazón.  Que dulce aquellas horas, soñando las recuerdo, de todo mi pasado, fue solo una ilusión. Hoy vago por el mundo con mi dolor a cuestas, llorando arrepentida, la dicha que pasó. ¡Oh, madre idolatrada!, viejita santa y buena, ahora te suplico, escuches por favor, me lleves de este mundo, allí, junto a tu lado, allí seré dichosa y volverá el amor.",,
2604,Oración rante,1954,Aldo Queirolo,"A tus pies, de rodillas, Dios santo, este reo te da el corazón. Nunca supe rezar ni un cachito, pero vengo a pedirte un favor. Se me muere mi pobre viejita, sólo ella me queda, sabés. Me dijeron que vos sos muy bueno y que muchos milagros hacés.  Escuchame, Padre Nuestro, mi viejita se muere, todos los reos te quieren, aunque no sepan rezar. Los muchachos de la barra están rodeando mi vieja y compartiendo mi queja, todos te piden piedad.  Siempre llevo en mi pecho colgada la medalla en donde estás vos y al cinchar por mi club favorito te pedí muchas veces un gol. Hoy llorando, te ruego, te imploro, por mi vieja, que está en el final. Yo por ella te entrego mi vida, Padre Nuestro tenés que escuchar.  Si ella se salva, Dios Santo, junto a la rante patota, con una vela grandota caminaré hasta Luján. Perdoná este pobre reo que en esta forma te reza, pero se muere mi vieja y me tenés que escuchar.",,
2605,Organito de la tarde,1924,José González Castillo,"Al paso tardo de un pobre viejo puebla de notas el arrabal, con un concierto de vidrios rotos, el organito crepuscular. Dándole vueltas a la manija un hombre rengo marcha detrás mientras la dura pata de palo marca del tango el compás.  En las notas de esa musiquita hay no sé qué de vaga sensación que el barrio parece impregnarse todo de emoción. Y es porque son tantos los recuerdos que a su paso despertando va que llena las almas con un gran deseo de llorar.  Y al triste son de esa su canción sigue el organito lerdo como sembrando a su paso más pesar en el recuerdo, más calor en el ocaso. Y allá se va de su tango al son como buscando la noche que apagará su canción.  Cuentan las viejas que todo saben y que el pianito junta a charlar que aquel viejito tuvo una hija que era la gloria del arrabal. Cuentan que el rengo era su novio y que en el corte no tuvo igual... Supo con ella, y en las milongas, con aquel tango reinar.  Pero vino un día un forastero, bailarín, buen mozo y peleador que en una milonga compañera y pierna le quitó. Desde entonces es que padre y novio van buscando por el arrabal la ingrata muchacha al compás de aquel tango fatal.",,
2606,Orgullo tanguero,,Enrique Cadícamo,"Con este tango no se pierde el compás porque es porteño, milonguero y varón. Mi tango es éste que se llama arrabal y lo demás es puro cuento... Desde pebete lo escuchamos roncar por los deslindes de Barracas al Sur y en los bailongos lo hemos visto bailar al Cachafaz, que era una luz...  Tango mío... Tango reo... del T.V.O., del Palais y Armenoville. Tu perfume tan lejano de recuerdos se hace llanto en la armonía del violín. Tango mío... Tango reo... ¡Qué será de aquel amor que ya perdí!...  Con este tango retobado y pintón de gran canyengue y malevo compás, está latiendo con porteña emoción el corazón de Buenos Aires. Por más que venga otro estilo a tallar, por más que quieran disfrazarlo, yo sé que el tango nuestro nunca debe cambiar, así nació y así ha de ser.",,
2607,Origen y destino,,Carlos Rossi,"A vos, Che, Pantaleón.... Don Ástor... y Piazzolla, a vos que te acunaste con música de olas ahora que sos hijo de todos los parientes reconocido hermano de reyes y sirvientes, me sumo al gran aplauso y a la sonrisa grata de todos los lugares, desde tu Mar del Plata.  Si lo que cuesta vale, vos lo sabés en serio. Aprecio tu criterio entre tanta aspereza de enriquecer caminos a fuerza de grandeza, de fugas y misterios...  Las notas de tus tangos, no parecen las mismas. Son siete, mas tu prisma al ser contemporáneo, le crearon las alas, tu gen las multiplica con tu genio espontáneo. Cómo decirte: ¡Gracias!, si aún no terminaste tu obra majestuosa. A tu vuelo sin tiempo aún le faltan voces de todos los Noninos y el saludo bendito de todos los adioses.",,
2608,Oro 18,,R. G. Castellucci,"Es de oro 18 el anillo que empeñé; que a una “Milonga” otaria con mi labia le chaqué. Es de oro 18 el anillo que empeñé; pobre “Milonga” otaria que engrupida te dejé.  Oro, lujo, farra, champagne y un auto Ford; fueron los componentes con que la mina cayó. Pobre otaria no mayabas que pato andaba; de aquel día que me espiantastes la marroca y el reloj. Engrupida a la “Milonga” tu bacán te arrastró, para ver si ahí chacabas a otro otario como yo.  Era una mina de las más lanceras que en la vida milonguera en su historia registró. Pobre percanta que desde la infancia, a más de cuatro te los engrupió. Pero es que ahora ya no hay otarios se acabaron los canarios los anillos y auto Ford, y los vestidos que encima te quedan andá a empeñarlos en lo de Salomón.",,
2609,Oro en tu cabecita,,Alfonso Fasano,"Oro en tu cabecita, y un ansia de besar en tus labios, que se asoma confusa musitando el nombre de tu amado. Mirada que se pierde en un albor lejano y dichoso, y hoy confiesas que sufres... Todo lo sé… ¡Oh, cabecita de oro!  ¿Por qué sufrí tu triste desengaño? ¿Por qué creí en tus falsas palabras? Si soy jirón de dolor que ansía buscando tu amor. ¿Por qué sentí el delirio de un cariño? ¿Por qué mentiste si llegué yo a amarte? Y es tu nombre mi delirio como un eterno martirio.  Una ilusión mataste que era la más sincera y más pura, una flor arrancaste engañando aquel sentir de albura. Llega la noche a mi alma y aquel día pasó volando… y en la angustia que sufro todo lo lloro porque sigo amando.",,
2610,Oro falso,1944,Homero Expósito,"Mireya jamás fue rubia, porque Mireya creció sin luna, su juventud de risa y canciones llenó de tangos el barrio más pobre, y era oscura cuando la noche con sus locuras y fantoches la llevó.  Morocha está en la historia de mi pueblo. El oro del cabello es oro falso. El tango, su tango me está llamando... Ayer, que no era rubia ni era triste, lloraba de alegría entre mis brazos, y ahora, que llora, tiene que reír...  Mireya, compás de tangos ¡cuántas estrellas te están llorando! Tu soledad de mil compañías hoy canta un tango que es toda tu vida. ¡Pobrecita, morocha y rubia! Que en una cita con la lluvia se perdió...",,
2611,Oro muerto (Jirón porteño),1926,Juan Raggi,"El conventillo luce su traje de etiqueta; las paicas van llegando, dispuestas a mostrar que hay pilchas domingueras, que hay porte y hay silueta, a los garabos reos deseosos de tanguear. La orquesta mistonguera musita un tango fulo, Los reos se desgranan buscando, entre el montón, la princesita rosa de ensortijado rulo que espera a su Romeo como una bendición.  El dueño de la casa atiende a las visitas los pibes del convento gritan en derredor jugando a la rayuela, al salto, a las bolitas, mientras un gringo curda maldice al Redentor.  El fuelle melodioso termina un tango papa. Una pebeta hermosa saca del corazón un ramo de violetas, que pone en la solapa del garabito guapo, dueño de su ilusión. Termina la milonga. Las minas retrecheras salen con sus bacanes, henchidas de emoción, llevando de esperanzas un cielo en sus ojeras y un mundo de cariño dentro del corazón.",,
2612,Oro y gris,,León Benarós,"Caía en oro y gris el día azul del hondo abril en que llegaste. Tal vez lo eterno fue de nuestro amor el llanto aquel que derramaste. Divina criatura musical... Asombro fiel de tu mirada angelical. Y tu melena como un cálido trigal iba encendiendo sin querer a mi sereno atardecer que iluminaste. ¡Qué breve fue la flor de tu ansiedad y tu temor, en nuestro amor!  Pequeña mía, sentimental, ardiente rosa de mi rosal: estoy poblado de tu ausencia y este dolor me hace feliz. La calle es niebla y cerrazón y, mientras digo mi canción, lloviendo está mi corazón, en oro y gris...",,
2613,Oro y seda,,Amadeo Canale,"(Recitado) Han pasado varios años desde el día que la ingrata al buen hombre adandonó, y aunque el tiempo borra todo nunca olvido este lamento que es el canto del dolor:  ¿Por qué lloras? Me preguntan los amigos que no saben de las penas del amor, pues yo nunca dije a nadie que por pobre me dejó alentada por el lujo de las joyas y los trajes que soñara su ilusión, dio a otro hombre su cariño sepultando en mi destino, el puñal de la traición.  ¡Oro y seda! Por su brillo se ha apagado el mejor de los encantos el amor de la mujer. ¡Oro y seda! Fantasías del engaño por su goce sólo queda un suplicio al desdichado que a la ingrata dio su fe.  ¿Olvidarla? ya no puedo, ande alegre o ande triste llega a mi alma su cantar que es la trova que me viste de congojas y pesar. Ya no es más la muñequita de esperanzas y venturas que forjara en mi ideal. Y sus trenzas y ojos puros son melena negro de humo que la venden al pasar.  ¡Oro y seda! Por seguir vuestros reflejos dando tumbos y festejos mi adorada se perdió. ¡Oro y seda! os maldigo y me iré lejos a llorar todas las penas que me corren para viejo de nostalgia y de dolor.",,
2614,"Oro, copa, espada y basto",,Emilio Magaldi,"(recitado) Oro, copa, espada y basto como pintas del amor, las primeras traen encantos y las otras penas son.  (cantado) Frente a frente, cara a cara, muchas veces me encontré con un mazo que tallara y mi fe para vencer. Si yo que fui punto bravo en el juego, una sota me ha vencido.  Brillo de oro vi en sus ojos y por ellos me arrojé en la copa de sus labios donde mi alma fue a beber. Pero una espada ocultaba en su pecho que hirió de muerte a mi amor.  Con esta pena que hay en mí adónde iré, si ya todo lo perdí por su querer. Como marca el rumbo cruel una traición que derrumbó la altivez del corazón. Poco a poco esta amargura va matando mi valor.  Oro, copa espada y basto, como pintas del amor, las primeras traen encanto y las otras penas son. Quiso el destino fallar a mi suerte dejándome con las malas.  Y aunque quise darme maña demostrándole valor, sólo supe que se ensaña pa´ cortarme la intención. Ni con ventaja se gana un cariño cuando la contra se da.  Con esta pena que hay en mi adónde iré, si ya todo lo perdí por su querer como marca el rumbo cruel una traición que derrumbó la altivez del corazón. Poco a poco esta amargura va matando mi valor.  Brillo de oro vi en sus ojos y por ellos me arrojé, en la copa de sus labios donde mi alma fue a beber. Pero una espada ocultaba en su pecho que hirió muerte a mi amor.",,
2615,Orquesta Típica,,Enrique Cadícamo,"La Típica va marcando un viejo tango sentido, la Típica va dejando en el ambiente un quejido. Y en sus pistas, Firulete, en el alma como un filo se nos mete. Se juegan los instrumentos a ver quien se luce más.  Hace el violín... el bandoneón... el piano así... y yo el cantor: la la ra la, la ra lai ra. ¡Esto es compás!... Es compás de tango criollo que se sube al corazón, como el champán, como el amor.",,
2616,Orquestas de mi ciudad,, Avlis,"Cuando su voz quiebra el silencio y van surgiendo acentos de emociones, la orquesta nos ofrece los compases de un tango dulzon, secretos sones. Y vibra el corazón de los violines y se alegra la boca de los pianos, alarga el bandoneón un llanto tibio y el que canta persigue sueños vanos.  Orquestas de mi ciudad, música, versos sentidos que mi alma guarda encendidos y que nunca morirán. Orquestas de mi ciudad, en cada barrio una novia, en cada tango una historia que se renueva al bailar. Orquestas de mi ciudad, compañera de ilusiones, vas regalando emociones, orquestas de mi ciudad.",,
2617,Oscarcito,,Teddy Peiró,"Con permiso compañero, perdone si lo molesto y así en frío me presento sin saber quién es usted, mas según tengo entendido anda de paso cambiado, medio achacao y amurado sin un mango pa’l café. Véngase para mi pieza, aprenda bien el camino pa’ que sepa dónde vivo y así sabe donde estoy, y entre un amargo espumoso, un vinacho, un cigarrillo, voy a contarle mi amigo de dónde vengo y quién soy.  Yo soy un punto cualquiera que la ha vivido y jugado y aunque a veces he ganado no salgo de perdedor. La suerte es como una mina que a veces no te da bola y otras veces, ella sola, se arrima y te da calor... Yo soy de la Guardia Vieja, de Razzano y de Carlitos y me llaman “Oscarcito” —los íntimos nada más— pa’ los otros soy un ñorse con un nombre y apellido, Oscar Gonzales, mi amigo, pa’lo que guste mandar.  Cuántas veces quedé en llanta en mi rodar por el globo y amurado, triste y solo una lágrima aguanté, y como aprendí a empujones los rigores de la vida es que siento en carne viva lo que está pasando usted. No se aflija, yo lo banco y le aguanto la jugada que mientras ande en la mala aquí no le va a faltar un techo pa’ cuando llueva, un matecito un puchero dos pilchas en el ropero y un catre pa’ apoliyar!",,
2618,Otaria con vos me casé,,José De Grassi,"""Si vos me querés pebetita, purretita de mi alma, nunca te ha de faltar nada, tendrás todo lo que querés. Tendrás un lindo chalecito, lacayos, auto y dinero, ven que por tu amor me muero"" y otaria... con vos me casé.  Yo te quería con toda mi alma y con tu mal cariño forjé una ilusión, para seguirte cieguita dejé a los viejitos de mi corazón.  El chalecito con sus lacayos que me decías, gran fanfarrón. Es este cuarto de mishiadura digno el pobre de un gran tango canción.  Y aquel mueblaje de ""Chimpendale"" que tanto hablabas los quiero ver. Donde está el piano, la ""concertola"" y la ""voituret"" papa, que prometiste ayer.  Yo te quería con toda el alma y con tu mal cariño forjé una ilusión, para seguirte cieguita dejé a los viejitos de mi corazón.  Te creí un hombre, era orgullosa, nunca pensaba lo que ahora sos. Te di mi alma, te di mi vida y con tristezas me lo pagaste vos.  Pero no creas que a mí me importa que sea un cotorro o sea un ""chalet"". Lo que me mata que no me quieras y eso no lo perdona te juro... una mujer.",,
